CustomerID,top_risk_drivers,top_protective_drivers,model_explanation
12967,"recency_days, frequency_orders, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: recency_days, frequency_orders, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12968,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, spend_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, spend_last_60d."
12970,"recency_days, frequency_orders, monetary_total","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: recency_days, frequency_orders, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
12971,"orders_last_30d, spend_last_60d, orders_last_90d","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: orders_last_30d, spend_last_60d, orders_last_90d. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
12974,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12976,"frequency_orders, orders_last_60d, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12977,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
12980,"monetary_mean, orders_last_60d, monetary_median","frequency_orders, monetary_total, spend_last_90d","Main churn-risk drivers: monetary_mean, orders_last_60d, monetary_median. Main factors reducing churn risk: frequency_orders, monetary_total, spend_last_90d."
12981,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12982,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
12987,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12988,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
12989,"orders_last_60d, monetary_mean, trend_orders_30_vs_90","frequency_orders, monetary_total, trend_spend_30_vs_90","Main churn-risk drivers: orders_last_60d, monetary_mean, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, trend_spend_30_vs_90."
12990,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12991,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, monetary_mean."
12993,"monetary_total, frequency_orders, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: monetary_total, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12994,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12997,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12999,"monetary_total, orders_last_60d, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: monetary_total, orders_last_60d, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13000,"monetary_total, frequency_orders, orders_last_30d","recency_days, trend_orders_30_vs_90, spend_last_60d","Main churn-risk drivers: monetary_total, frequency_orders, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, spend_last_60d."
13001,"orders_last_60d, trend_orders_30_vs_90","frequency_orders, monetary_total, trend_spend_30_vs_90","Main churn-risk drivers: orders_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, trend_spend_30_vs_90."
13002,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13003,"monetary_total, frequency_orders, orders_last_30d","recency_days, spend_last_60d, orders_last_60d","Main churn-risk drivers: monetary_total, frequency_orders, orders_last_30d. Main factors reducing churn risk: recency_days, spend_last_60d, orders_last_60d."
13004,"trend_orders_30_vs_90, orders_last_30d, spend_last_60d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: trend_orders_30_vs_90, orders_last_30d, spend_last_60d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13005,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
13008,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13011,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13012,"monetary_total, trend_orders_30_vs_90, spend_last_90d","trend_spend_30_vs_90, recency_days, frequency_orders","Main churn-risk drivers: monetary_total, trend_orders_30_vs_90, spend_last_90d. Main factors reducing churn risk: trend_spend_30_vs_90, recency_days, frequency_orders."
13013,"orders_last_30d, spend_last_60d, trend_orders_30_vs_90","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: orders_last_30d, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
13014,"orders_last_30d, trend_orders_30_vs_90, orders_last_90d","frequency_orders, recency_days, monetary_total","Main churn-risk drivers: orders_last_30d, trend_orders_30_vs_90, orders_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, monetary_total."
13015,"orders_last_60d, spend_last_90d, trend_spend_30_vs_90","spend_last_60d, frequency_orders, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_60d, spend_last_90d, trend_spend_30_vs_90. Main factors reducing churn risk: spend_last_60d, frequency_orders, trend_orders_30_vs_90."
13016,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, monetary_mean."
13018,"trend_orders_30_vs_90, spend_last_60d, orders_last_30d","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, orders_last_30d. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
13021,"orders_last_60d, trend_orders_30_vs_90, monetary_total","trend_spend_30_vs_90, spend_last_60d, frequency_orders","Main churn-risk drivers: orders_last_60d, trend_orders_30_vs_90, monetary_total. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, frequency_orders."
13023,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
13026,"monetary_total, frequency_orders, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: monetary_total, frequency_orders, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
13027,"spend_last_60d, monetary_mean, monetary_median","monetary_total, frequency_orders, spend_last_90d","Main churn-risk drivers: spend_last_60d, monetary_mean, monetary_median. Main factors reducing churn risk: monetary_total, frequency_orders, spend_last_90d."
13029,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
13030,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13033,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13034,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13035,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13037,"monetary_total, frequency_orders, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: monetary_total, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
13038,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13043,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13044,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13045,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
13046,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13047,"trend_orders_30_vs_90, spend_last_60d, orders_last_90d","frequency_orders, monetary_total, recency_days","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, orders_last_90d. Main factors reducing churn risk: frequency_orders, monetary_total, recency_days."
13048,"frequency_orders, orders_last_30d, trend_spend_30_vs_90","recency_days, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, orders_last_30d, trend_spend_30_vs_90. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, monetary_mean."
13049,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13050,"spend_last_60d, trend_orders_30_vs_90, orders_last_30d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90, orders_last_30d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13052,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13055,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13058,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
13059,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13060,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13062,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13064,"frequency_orders, orders_last_60d, monetary_total","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
13065,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13068,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13069,"orders_last_30d, spend_last_60d, trend_orders_30_vs_90","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: orders_last_30d, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
13070,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13072,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13075,"frequency_orders, spend_last_60d, monetary_total","recency_days, trend_spend_30_vs_90, spend_last_90d","Main churn-risk drivers: frequency_orders, spend_last_60d, monetary_total. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_90d."
13077,"recency_days, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: recency_days, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13078,"spend_last_60d, orders_last_30d, trend_orders_30_vs_90","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, orders_last_30d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13079,"frequency_orders, monetary_total, orders_last_30d","orders_last_60d, recency_days, spend_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: orders_last_60d, recency_days, spend_last_60d."
13080,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, monetary_mean."
13081,"spend_last_60d, trend_orders_30_vs_90","monetary_total, frequency_orders, spend_last_90d","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: monetary_total, frequency_orders, spend_last_90d."
13082,"trend_orders_30_vs_90, orders_last_90d","frequency_orders, monetary_total, spend_last_90d","Main churn-risk drivers: trend_orders_30_vs_90, orders_last_90d. Main factors reducing churn risk: frequency_orders, monetary_total, spend_last_90d."
13085,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
13089,"spend_last_60d, orders_last_30d, spend_last_30d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, orders_last_30d, spend_last_30d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13090,"spend_last_60d, trend_orders_30_vs_90, orders_last_90d","frequency_orders, monetary_total, spend_last_90d","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90, orders_last_90d. Main factors reducing churn risk: frequency_orders, monetary_total, spend_last_90d."
13092,"monetary_total, orders_last_60d, spend_last_90d","spend_last_60d, frequency_orders, trend_orders_30_vs_90","Main churn-risk drivers: monetary_total, orders_last_60d, spend_last_90d. Main factors reducing churn risk: spend_last_60d, frequency_orders, trend_orders_30_vs_90."
13093,"recency_days, orders_last_60d, spend_last_90d","monetary_total, frequency_orders, spend_last_60d","Main churn-risk drivers: recency_days, orders_last_60d, spend_last_90d. Main factors reducing churn risk: monetary_total, frequency_orders, spend_last_60d."
13094,"trend_orders_30_vs_90, monetary_median, spend_last_90d","frequency_orders, recency_days, trend_spend_30_vs_90","Main churn-risk drivers: trend_orders_30_vs_90, monetary_median, spend_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, trend_spend_30_vs_90."
13097,"trend_orders_30_vs_90, spend_last_60d, orders_last_90d","frequency_orders, monetary_total, spend_last_90d","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, orders_last_90d. Main factors reducing churn risk: frequency_orders, monetary_total, spend_last_90d."
13098,"spend_last_60d, orders_last_30d, trend_orders_30_vs_90","frequency_orders, monetary_total, spend_last_90d","Main churn-risk drivers: spend_last_60d, orders_last_30d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, spend_last_90d."
13099,"frequency_orders, monetary_total, monetary_mean","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, monetary_mean. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
13101,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13102,"trend_orders_30_vs_90, spend_last_60d, orders_last_90d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, orders_last_90d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13104,"monetary_total, frequency_orders, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: monetary_total, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_60d."
13106,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_60d."
13107,"frequency_orders, orders_last_60d, monetary_total","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
13108,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13109,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
13110,"trend_orders_30_vs_90, monetary_total, spend_last_90d","frequency_orders, orders_last_60d, recency_days","Main churn-risk drivers: trend_orders_30_vs_90, monetary_total, spend_last_90d. Main factors reducing churn risk: frequency_orders, orders_last_60d, recency_days."
13113,"spend_last_60d, trend_orders_30_vs_90, orders_last_30d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90, orders_last_30d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
13115,"frequency_orders, orders_last_60d, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13116,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
13117,"monetary_total, trend_orders_30_vs_90, spend_last_90d","frequency_orders, recency_days, trend_spend_30_vs_90","Main churn-risk drivers: monetary_total, trend_orders_30_vs_90, spend_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, trend_spend_30_vs_90."
13118,"orders_last_60d, monetary_total, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: orders_last_60d, monetary_total, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13120,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13121,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
13122,"frequency_orders, monetary_total, spend_last_90d","recency_days, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, monetary_total, spend_last_90d. Main factors reducing churn risk: recency_days, spend_last_60d, trend_orders_30_vs_90."
13124,"frequency_orders, orders_last_60d, recency_days","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, orders_last_60d, recency_days. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
13126,"orders_last_60d, recency_days, monetary_total","frequency_orders, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_60d, recency_days, monetary_total. Main factors reducing churn risk: frequency_orders, spend_last_60d, trend_orders_30_vs_90."
13130,"frequency_orders, monetary_total, orders_last_30d","recency_days, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, spend_last_60d, trend_orders_30_vs_90."
13131,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13132,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13133,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13134,"orders_last_60d, monetary_total, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: orders_last_60d, monetary_total, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
13135,"monetary_mean, monetary_median, frequency_orders","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: monetary_mean, monetary_median, frequency_orders. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
13136,"trend_orders_30_vs_90, frequency_orders, spend_last_60d","orders_last_60d, recency_days, trend_spend_30_vs_90","Main churn-risk drivers: trend_orders_30_vs_90, frequency_orders, spend_last_60d. Main factors reducing churn risk: orders_last_60d, recency_days, trend_spend_30_vs_90."
13137,"orders_last_30d, spend_last_60d, spend_last_30d","orders_last_60d, frequency_orders, recency_days","Main churn-risk drivers: orders_last_30d, spend_last_60d, spend_last_30d. Main factors reducing churn risk: orders_last_60d, frequency_orders, recency_days."
13138,"monetary_total, frequency_orders, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: monetary_total, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_60d."
13139,"frequency_orders, orders_last_30d, trend_spend_30_vs_90","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, orders_last_30d, trend_spend_30_vs_90. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
13140,"monetary_total, orders_last_30d, frequency_orders","orders_last_60d, recency_days, trend_orders_30_vs_90","Main churn-risk drivers: monetary_total, orders_last_30d, frequency_orders. Main factors reducing churn risk: orders_last_60d, recency_days, trend_orders_30_vs_90."
13141,"orders_last_60d, spend_last_90d, recency_days","spend_last_60d, frequency_orders, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_60d, spend_last_90d, recency_days. Main factors reducing churn risk: spend_last_60d, frequency_orders, trend_orders_30_vs_90."
13144,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
